Ingredient,Country,Claim Category,Allowed Claims,Dosage,Health claim pending European authorisation,Claim Use Notes
Cat’s Claw (Uncaria tomentosa),Netherlands,Immune Support / Joint and Musculoskeletal Health / Anti-inflammatory / Digestive Health / Antioxidant Support,On-Hold:\nContributes to the immune system.\nHelps to maintain flexible joints.,Standardized extract: 250–350 mg per day (standardized to pentacyclic oxindole alkaloids)\nWhole bark powder: 1–3 grams per day,Health claim pending European authorisation,"Use on-hold claims with traditional use disclaimer.\nConsult healthcare provider before use if pregnant or breastfeeding.\nMay interact with immunosuppressant medications.\nAvoid use if you have autoimmune diseases without medical advice.\nDiscontinue use if adverse reactions such as nausea, dizziness, or allergic reactions occur.\nNot recommended for individuals on blood-thinning medication without supervision.\nMay cause gastrointestinal upset in some individuals."
Cat’s Claw (Uncaria tomentosa),Germany,Immune Support / Joint and Musculoskeletal Health / Anti-inflammatory / Digestive Health / Antioxidant Support,On-Hold:\nContributes to the immune system.\nHelps to maintain flexible joints.,Standardized extract: 250–350 mg per day (standardized to pentacyclic oxindole alkaloids)\nWhole bark powder: 1–3 grams per day,Health claim pending European authorisation,"Use on-hold claims with traditional use disclaimer.\nConsult healthcare provider before use if pregnant or breastfeeding.\nMay interact with immunosuppressant medications.\nAvoid use if you have autoimmune diseases without medical advice.\nDiscontinue use if adverse reactions such as nausea, dizziness, or allergic reactions occur.\nNot recommended for individuals on blood-thinning medication without supervision.\nMay cause gastrointestinal upset in some individuals."
Cat’s Claw (Uncaria tomentosa),France,Immune Support / Joint and Musculoskeletal Health / Anti-inflammatory / Digestive Health / Antioxidant Support,On-Hold:\nContributes to the immune system.\nHelps to maintain flexible joints.,Standardized extract: 250–350 mg per day (standardized to pentacyclic oxindole alkaloids)\nWhole bark powder: 1–3 grams per day,Health claim pending European authorisation,"Use on-hold claims with traditional use disclaimer.\nConsult healthcare provider before use if pregnant or breastfeeding.\nMay interact with immunosuppressant medications.\nAvoid use if you have autoimmune diseases without medical advice.\nDiscontinue use if adverse reactions such as nausea, dizziness, or allergic reactions occur.\nNot recommended for individuals on blood-thinning medication without supervision.\nMay cause gastrointestinal upset in some individuals."
Cat’s Claw (Uncaria tomentosa),Spain,Immune Support / Joint and Musculoskeletal Health / Anti-inflammatory / Digestive Health / Antioxidant Support,On-Hold:\nContributes to the immune system.\nHelps to maintain flexible joints.,Standardized extract: 250–350 mg per day (standardized to pentacyclic oxindole alkaloids)\nWhole bark powder: 1–3 grams per day,Health claim pending European authorisation,"Use on-hold claims with traditional use disclaimer.\nConsult healthcare provider before use if pregnant or breastfeeding.\nMay interact with immunosuppressant medications.\nAvoid use if you have autoimmune diseases without medical advice.\nDiscontinue use if adverse reactions such as nausea, dizziness, or allergic reactions occur.\nNot recommended for individuals on blood-thinning medication without supervision.\nMay cause gastrointestinal upset in some individuals."
Cat’s Claw (Uncaria tomentosa),Italy,Immune Support / Joint and Musculoskeletal Health / Anti-inflammatory / Digestive Health / Antioxidant Support,On-Hold:\nContributes to the immune system.\nHelps to maintain flexible joints.,Standardized extract: 250–350 mg per day (standardized to pentacyclic oxindole alkaloids)\nWhole bark powder: 1–3 grams per day,Health claim pending European authorisation,"Use on-hold claims with traditional use disclaimer.\nConsult healthcare provider before use if pregnant or breastfeeding.\nMay interact with immunosuppressant medications.\nAvoid use if you have autoimmune diseases without medical advice.\nDiscontinue use if adverse reactions such as nausea, dizziness, or allergic reactions occur.\nNot recommended for individuals on blood-thinning medication without supervision.\nMay cause gastrointestinal upset in some individuals."
Cat’s Claw (Uncaria tomentosa),Belgium,Immune Support / Joint and Musculoskeletal Health / Anti-inflammatory / Digestive Health / Antioxidant Support,On-Hold:\nContributes to the immune system.\nHelps to maintain flexible joints.,Standardized extract: 250–350 mg per day (standardized to pentacyclic oxindole alkaloids)\nWhole bark powder: 1–3 grams per day,Health claim pending European authorisation,"Use on-hold claims with traditional use disclaimer.\nConsult healthcare provider before use if pregnant or breastfeeding.\nMay interact with immunosuppressant medications.\nAvoid use if you have autoimmune diseases without medical advice.\nDiscontinue use if adverse reactions such as nausea, dizziness, or allergic reactions occur.\nNot recommended for individuals on blood-thinning medication without supervision.\nMay cause gastrointestinal upset in some individuals."
Cat’s Claw (Uncaria tomentosa),Austria,Immune Support / Joint and Musculoskeletal Health / Anti-inflammatory / Digestive Health / Antioxidant Support,On-Hold:\nContributes to the immune system.\nHelps to maintain flexible joints.,Standardized extract: 250–350 mg per day (standardized to pentacyclic oxindole alkaloids)\nWhole bark powder: 1–3 grams per day,Health claim pending European authorisation,"Use on-hold claims with traditional use disclaimer.\nConsult healthcare provider before use if pregnant or breastfeeding.\nMay interact with immunosuppressant medications.\nAvoid use if you have autoimmune diseases without medical advice.\nDiscontinue use if adverse reactions such as nausea, dizziness, or allergic reactions occur.\nNot recommended for individuals on blood-thinning medication without supervision.\nMay cause gastrointestinal upset in some individuals."
Cat’s Claw (Uncaria tomentosa),Sweden,Immune Support / Joint and Musculoskeletal Health / Anti-inflammatory / Digestive Health / Antioxidant Support,On-Hold:\nContributes to the immune system.\nHelps to maintain flexible joints.,Standardized extract: 250–350 mg per day (standardized to pentacyclic oxindole alkaloids)\nWhole bark powder: 1–3 grams per day,Health claim pending European authorisation,"Use on-hold claims with traditional use disclaimer.\nConsult healthcare provider before use if pregnant or breastfeeding.\nMay interact with immunosuppressant medications.\nAvoid use if you have autoimmune diseases without medical advice.\nDiscontinue use if adverse reactions such as nausea, dizziness, or allergic reactions occur.\nNot recommended for individuals on blood-thinning medication without supervision.\nMay cause gastrointestinal upset in some individuals."
Cat’s Claw (Uncaria tomentosa),Norway,Immune Support / Joint and Musculoskeletal Health / Anti-inflammatory / Digestive Health / Antioxidant Support,On-Hold:\nContributes to the immune system.\nHelps to maintain flexible joints.,Standardized extract: 250–350 mg per day (standardized to pentacyclic oxindole alkaloids)\nWhole bark powder: 1–3 grams per day,Health claim pending European authorisation,"Use on-hold claims with traditional use disclaimer.\nConsult healthcare provider before use if pregnant or breastfeeding.\nMay interact with immunosuppressant medications.\nAvoid use if you have autoimmune diseases without medical advice.\nDiscontinue use if adverse reactions such as nausea, dizziness, or allergic reactions occur.\nNot recommended for individuals on blood-thinning medication without supervision.\nMay cause gastrointestinal upset in some individuals."
Cat’s Claw (Uncaria tomentosa),Denmark,Immune Support / Joint and Musculoskeletal Health / Anti-inflammatory / Digestive Health / Antioxidant Support,On-Hold:\nContributes to the immune system.\nHelps to maintain flexible joints.,Standardized extract: 250–350 mg per day (standardized to pentacyclic oxindole alkaloids)\nWhole bark powder: 1–3 grams per day,Health claim pending European authorisation,"Use on-hold claims with traditional use disclaimer.\nConsult healthcare provider before use if pregnant or breastfeeding.\nMay interact with immunosuppressant medications.\nAvoid use if you have autoimmune diseases without medical advice.\nDiscontinue use if adverse reactions such as nausea, dizziness, or allergic reactions occur.\nNot recommended for individuals on blood-thinning medication without supervision.\nMay cause gastrointestinal upset in some individuals."
